ts,x,y,z,rx,ry,rz,rw
63755672385463,-0.1766356,0.02604067,-0.1066241,-0.02138288,0.03717681,-0.01981667,0.9988834
63755672385477,-0.1767403,0.02606654,-0.1066248,-0.02149205,0.03720479,-0.01959757,0.9988843
63755672385491,-0.1770142,0.02602744,-0.1067312,-0.02145012,0.03683205,-0.01890394,0.9989124
63755672385504,-0.1771433,0.02598798,-0.1068241,-0.02095587,0.03655972,-0.01865625,0.9989375
63755672385518,-0.1772958,0.02595627,-0.1069499,-0.02082819,0.03608838,-0.01848736,0.9989605
63755672385532,-0.177435,0.02596188,-0.1070688,-0.02102477,0.03557856,-0.0182861,0.9989784
63755672385546,-0.1775397,0.02599502,-0.1071614,-0.02148076,0.03519376,-0.01825658,0.9989828
63755672385559,-0.1776507,0.02615654,-0.1072441,-0.02222432,0.0349442,-0.01872955,0.9989666
63755672385573,-0.1777098,0.02635217,-0.1072757,-0.02305074,0.03495617,-0.01918128,0.9989389
63755672385587,-0.1777551,0.02650404,-0.1072993,-0.02363595,0.03505754,-0.01948268,0.9989158
63755672385600,-0.1777904,0.02655542,-0.1073027,-0.02381828,0.0352744,-0.01945488,0.9989043
63755672385614,-0.1777993,0.02654767,-0.1073283,-0.02393843,0.03555343,-0.01901485,0.9989001
63755672385627,-0.1777035,0.02649641,-0.1072888,-0.02405586,0.03632808,-0.01793276,0.9988894
63755672385641,-0.1776577,0.02649617,-0.1072652,-0.02420499,0.03666301,-0.01758737,0.9988797
63755672385655,-0.1775444,0.02653217,-0.1072131,-0.02421747,0.03732081,-0.01723426,0.9988612
63755672385669,-0.1774484,0.02654421,-0.1072032,-0.02408848,0.03769043,-0.01725924,0.99885
63755672385683,-0.1774093,0.02654815,-0.1072164,-0.02403631,0.03774919,-0.0173806,0.9988469
63755672385696,-0.1773505,0.02654088,-0.1072365,-0.02390438,0.03772259,-0.01771134,0.9988453
63755672385710,-0.1773627,0.02656448,-0.1071978,-0.02380759,0.0376908,-0.01784603,0.9988464
63755672385724,-0.177389,0.02659214,-0.1071588,-0.02393787,0.0375692,-0.01798584,0.9988454
63755672385737,-0.1773839,0.02663958,-0.1071564,-0.02398065,0.03730079,-0.01819272,0.9988506
63755672385751,-0.1773386,0.02673495,-0.1070787,-0.024174,0.03717165,-0.01832797,0.9988483
63755672385765,-0.177284,0.02683008,-0.1069781,-0.02461671,0.03711386,-0.01847094,0.9988371
63755672385779,-0.1772271,0.02687216,-0.1068174,-0.02475881,0.03725175,-0.01842874,0.9988292
63755672385792,-0.1771717,0.02684474,-0.1066707,-0.0245567,0.03736511,-0.01841489,0.9988302
63755672385806,-0.1771536,0.02681601,-0.1066136,-0.02441654,0.03741019,-0.0183727,0.9988327
63755672385820,-0.1770977,0.02664423,-0.106376,-0.02345696,0.03753359,-0.01790995,0.9988595
63755672385833,-0.1771148,0.02655661,-0.1061844,-0.02310482,0.03768218,-0.01766585,0.9988664
63755672385847,-0.1771326,0.02653658,-0.1060047,-0.02284226,0.03774279,-0.01758933,0.9988716
63755672385861,-0.1771218,0.02659273,-0.1057505,-0.02268459,0.03773971,-0.0179189,0.9988694
63755672385875,-0.1771247,0.02663052,-0.105637,-0.02257003,0.03773487,-0.01811601,0.9988686
63755672385889,-0.1771184,0.02663052,-0.1052865,-0.02210875,0.03765879,-0.01814648,0.9988813
63755672385902,-0.1771147,0.02662075,-0.1049743,-0.0218544,0.03767885,-0.01811075,0.9988867
63755672385916,-0.1771189,0.02662385,-0.10472,-0.02173302,0.03761986,-0.01803135,0.998893
63755672385929,-0.1771238,0.02664065,-0.104512,-0.02160177,0.0375076,-0.01802365,0.9989003
63755672385943,-0.1771343,0.02662337,-0.1042434,-0.02132662,0.03738702,-0.01791808,0.9989126
63755672385957,-0.1771742,0.02643466,-0.1037519,-0.02086516,0.0373814,-0.01805545,0.9989201
63755672385971,-0.177171,0.02632403,-0.1034413,-0.02027649,0.03740723,-0.0183989,0.998925
63755672385985,-0.1771588,0.02631879,-0.1030744,-0.01966558,0.03739658,-0.01856724,0.9989344
63755672385999,-0.1771895,0.02640343,-0.1026328,-0.01940463,0.03747803,-0.01877657,0.9989326
63755672386012,-0.1771793,0.02640855,-0.1023763,-0.01942489,0.03748859,-0.01878068,0.9989317
63755672386026,-0.1771932,0.02643788,-0.101801,-0.01927068,0.03736485,-0.01864419,0.9989419
63755672386040,-0.1771472,0.02659452,-0.100962,-0.01926212,0.03709073,-0.01830211,0.9989586
63755672386054,-0.1771158,0.02678633,-0.1002159,-0.01902606,0.03687489,-0.01800158,0.9989766
63755672386067,-0.1771129,0.02701294,-0.09939018,-0.01863389,0.03651059,-0.01790322,0.9989991
63755672386081,-0.1771178,0.02719581,-0.09873128,-0.01838126,0.03622086,-0.0178739,0.9990149
63755672386095,-0.1770606,0.02740669,-0.09788418,-0.01825374,0.03569669,-0.01772785,0.9990387
63755672386109,-0.1769557,0.02760994,-0.09686908,-0.01822026,0.03534311,-0.01743054,0.9990571
63755672386122,-0.176828,0.02798569,-0.09543499,-0.01818376,0.0348806,-0.01707204,0.9990802
63755672386137,-0.1767139,0.02826512,-0.09427276,-0.01837186,0.0345272,-0.01684731,0.9990929
63755672386150,-0.1765114,0.0286262,-0.09268308,-0.0181619,0.03398334,-0.01691425,0.9991142
63755672386163,-0.1763872,0.02886975,-0.09143922,-0.01789353,0.03361878,-0.01697096,0.9991304
63755672386177,-0.1762205,0.02911603,-0.09008148,-0.01773791,0.03332112,-0.01716513,0.9991398
63755672386191,-0.1757404,0.02968192,-0.08725473,-0.01730115,0.03234917,-0.01705648,0.9991813
63755672386205,-0.1754577,0.02981842,-0.08570507,-0.01727966,0.03193895,-0.01680714,0.9991991
63755672386219,-0.1751311,0.02992189,-0.08412308,-0.01690965,0.03152157,-0.01660927,0.999222
63755672386232,-0.174383,0.03024399,-0.08082256,-0.01529847,0.03108957,-0.01658591,0.9992619
63755672386246,-0.1741416,0.03040969,-0.07969591,-0.01475912,0.03097375,-0.01681539,0.9992698
63755672386260,-0.1734792,0.03062129,-0.07666481,-0.01271397,0.03059542,-0.01749557,0.9992979
63755672386273,-0.173085,0.03073096,-0.07496133,-0.01110392,0.03036469,-0.01783504,0.9993181
63755672386287,-0.1724072,0.03139639,-0.0718919,-0.00956744,0.0300271,-0.01835912,0.9993347
63755672386302,-0.171887,0.03197265,-0.06954437,-0.009724,0.02988951,-0.01885035,0.9993281
63755672386316,-0.1712579,0.03256357,-0.06675017,-0.009615543,0.02976225,-0.01957524,0.9993191
63755672386331,-0.1706842,0.03302455,-0.06425625,-0.009116581,0.02978159,-0.01994818,0.9993158
63755672386345,-0.1701181,0.03345335,-0.06186739,-0.008580817,0.02989763,-0.01989843,0.9993181
63755672386358,-0.169546,0.03378201,-0.05948541,-0.007979423,0.02999812,-0.01963096,0.9993253
63755672386372,-0.1688898,0.0341233,-0.05683324,-0.007088677,0.03011049,-0.01935033,0.9993342
63755672386385,-0.1685017,0.03436136,-0.05530158,-0.006488596,0.03012318,-0.01921023,0.9993405
63755672386399,-0.1678493,0.03479445,-0.05263633,-0.00590086,0.03022441,-0.01903377,0.9993445
63755672386412,-0.1672224,0.03524566,-0.05006728,-0.005570977,0.0304081,-0.01906955,0.9993401
63755672386426,-0.1663353,0.03587008,-0.04635185,-0.005267412,0.03071111,-0.01949233,0.9993243
63755672386440,-0.165746,0.03638017,-0.04361346,-0.005268301,0.03103624,-0.01970692,0.9993101
