ts,x,y,z,rx,ry,rz,rw
63755672385463,-0.1122445,0.008196115,-0.1488805,-0.02138288,0.03717681,-0.01981667,0.9988834
63755672385477,-0.1123441,0.00824213,-0.1488822,-0.02149205,0.03720479,-0.01959757,0.9988843
63755672385491,-0.1125629,0.008298397,-0.1489443,-0.02145012,0.03683205,-0.01890394,0.9989124
63755672385504,-0.1126602,0.008331418,-0.1490192,-0.02095587,0.03655972,-0.01865625,0.9989375
63755672385518,-0.1127669,0.008332729,-0.1490887,-0.02082819,0.03608838,-0.01848736,0.9989605
63755672385532,-0.1128561,0.008349895,-0.1491358,-0.02102477,0.03557856,-0.0182861,0.9989784
63755672385546,-0.1129273,0.008351207,-0.1491636,-0.02148076,0.03519376,-0.01825658,0.9989828
63755672385559,-0.1130333,0.008391619,-0.1491875,-0.02222432,0.0349442,-0.01872955,0.9989666
63755672385573,-0.1131091,0.008461952,-0.1491915,-0.02305074,0.03495617,-0.01918128,0.9989389
63755672385587,-0.1131734,0.008527398,-0.1492075,-0.02363595,0.03505754,-0.01948268,0.9989158
63755672385600,-0.1132262,0.008567691,-0.1492332,-0.02381828,0.0352744,-0.01945488,0.9989043
63755672385614,-0.1132439,0.008607984,-0.1492929,-0.02393843,0.03555343,-0.01901485,0.9989001
63755672385627,-0.1131774,0.008689046,-0.1493546,-0.02405586,0.03632808,-0.01793276,0.9988894
63755672385641,-0.1131486,0.008721948,-0.149371,-0.02420499,0.03666301,-0.01758737,0.9988797
63755672385655,-0.1130794,0.008802414,-0.1494053,-0.02421747,0.03732081,-0.01723426,0.9988612
63755672385669,-0.1130158,0.008820653,-0.1494474,-0.02408848,0.03769043,-0.01725924,0.99885
63755672385683,-0.1129858,0.008812666,-0.1494694,-0.02403631,0.03774919,-0.0173806,0.9988469
63755672385696,-0.1129358,0.008772373,-0.149489,-0.02390438,0.03772259,-0.01771134,0.9988453
63755672385710,-0.1129497,0.008785963,-0.1494488,-0.02380759,0.0376908,-0.01784603,0.9988464
63755672385724,-0.1129705,0.008785009,-0.1493891,-0.02393787,0.0375692,-0.01798584,0.9988454
63755672385737,-0.1129494,0.008802176,-0.1493496,-0.02398065,0.03730079,-0.01819272,0.9988506
63755672385751,-0.1128976,0.008864522,-0.1492482,-0.024174,0.03717165,-0.01832797,0.9988483
63755672385765,-0.1128432,0.008905649,-0.1491248,-0.02461671,0.03711386,-0.01847094,0.9988371
63755672385779,-0.1127967,0.00894177,-0.1489773,-0.02475881,0.03725175,-0.01842874,0.9988292
63755672385792,-0.1127504,0.008932114,-0.1488521,-0.0245567,0.03736511,-0.01841489,0.9988302
63755672385806,-0.1127347,0.008919954,-0.1488057,-0.02441654,0.03741019,-0.0183727,0.9988327
63755672385820,-0.1126734,0.008885384,-0.148618,-0.02345696,0.03753359,-0.01790995,0.9988595
63755672385833,-0.1126949,0.008857846,-0.1484583,-0.02310482,0.03768218,-0.01766585,0.9988664
63755672385847,-0.1127152,0.008868694,-0.1482955,-0.02284226,0.03774279,-0.01758933,0.9988716
63755672385861,-0.1127151,0.008893967,-0.1480446,-0.02268459,0.03773971,-0.0179189,0.9988694
63755672385875,-0.1127243,0.008914948,-0.1479334,-0.02257003,0.03773487,-0.01811601,0.9988686
63755672385889,-0.1127124,0.00894773,-0.1475881,-0.02210875,0.03765879,-0.01814648,0.9988813
63755672385902,-0.1127092,0.008962989,-0.1472871,-0.0218544,0.03767885,-0.01811075,0.9988867
63755672385916,-0.1127056,0.008986354,-0.1470295,-0.02173302,0.03761986,-0.01803135,0.998893
63755672385929,-0.1127006,0.009014726,-0.1468112,-0.02160177,0.0375076,-0.01802365,0.9989003
