ts,x,y,z,rx,ry,rz,rw
63755672385463,-0.03763556,1.559041,-0.6376241,-0.02138288,0.03717681,-0.01981667,0.9988834
63755672385477,-0.03774023,1.559067,-0.6376249,-0.02149205,0.03720479,-0.01959757,0.9988843
63755672385491,-0.03801417,1.559027,-0.6377312,-0.02145012,0.03683205,-0.01890394,0.9989124
63755672385504,-0.03814328,1.558988,-0.6378241,-0.02095587,0.03655972,-0.01865625,0.9989375
63755672385518,-0.03829575,1.558956,-0.6379499,-0.02082819,0.03608838,-0.01848736,0.9989605
63755672385532,-0.03843498,1.558962,-0.6380688,-0.02102477,0.03557856,-0.0182861,0.9989784
63755672385546,-0.03853965,1.558995,-0.6381614,-0.02148076,0.03519376,-0.01825658,0.9989828
63755672385559,-0.03865063,1.559157,-0.638244,-0.02222432,0.0349442,-0.01872955,0.9989666
63755672385573,-0.03870976,1.559352,-0.6382757,-0.02305074,0.03495617,-0.01918128,0.9989389
63755672385587,-0.03875506,1.559504,-0.6382993,-0.02363595,0.03505754,-0.01948268,0.9989158
63755672385600,-0.03879035,1.559556,-0.6383027,-0.02381828,0.0352744,-0.01945488,0.9989043
63755672385614,-0.03879929,1.559548,-0.6383283,-0.02393843,0.03555343,-0.01901485,0.9989001
63755672385627,-0.03870344,1.559496,-0.6382888,-0.02405586,0.03632808,-0.01793276,0.9988894
63755672385641,-0.03865767,1.559496,-0.6382653,-0.02420499,0.03666301,-0.01758737,0.9988797
63755672385655,-0.0385443,1.559532,-0.6382132,-0.02421747,0.03732081,-0.01723426,0.9988612
63755672385669,-0.03844833,1.559544,-0.6382031,-0.02408848,0.03769043,-0.01725924,0.99885
63755672385683,-0.03840923,1.559548,-0.6382164,-0.02403631,0.03774919,-0.0173806,0.9988469
63755672385696,-0.03835046,1.559541,-0.6382365,-0.02390438,0.03772259,-0.01771134,0.9988453
63755672385710,-0.03836262,1.559565,-0.6381978,-0.02380759,0.0376908,-0.01784603,0.9988464
63755672385724,-0.03838897,1.559592,-0.6381588,-0.02393787,0.0375692,-0.01798584,0.9988454
63755672385737,-0.03838384,1.55964,-0.6381564,-0.02398065,0.03730079,-0.01819272,0.9988506
63755672385751,-0.03833854,1.559735,-0.6380787,-0.024174,0.03717165,-0.01832797,0.9988483
63755672385765,-0.03828394,1.55983,-0.6379781,-0.02461671,0.03711386,-0.01847094,0.9988371
63755672385779,-0.03822708,1.559872,-0.6378174,-0.02475881,0.03725175,-0.01842874,0.9988292
63755672385792,-0.03817165,1.559845,-0.6376707,-0.0245567,0.03736511,-0.01841489,0.9988302
63755672385806,-0.03815353,1.559816,-0.6376135,-0.02441654,0.03741019,-0.0183727,0.9988327
63755672385820,-0.03809762,1.559644,-0.637376,-0.02345696,0.03753359,-0.01790995,0.9988595
63755672385833,-0.03811479,1.559557,-0.6371844,-0.02310482,0.03768218,-0.01766585,0.9988664
63755672385847,-0.03813255,1.559537,-0.6370047,-0.02284226,0.03774279,-0.01758933,0.9988716
63755672385861,-0.0381217,1.559593,-0.6367505,-0.02268459,0.03773971,-0.0179189,0.9988694
63755672385875,-0.03812468,1.559631,-0.636637,-0.02257003,0.03773487,-0.01811601,0.9988686
63755672385889,-0.03811836,1.559631,-0.6362865,-0.02210875,0.03765879,-0.01814648,0.9988813
63755672385902,-0.03811467,1.559621,-0.6359743,-0.0218544,0.03767885,-0.01811075,0.9988867
63755672385916,-0.03811884,1.559624,-0.63572,-0.02173302,0.03761986,-0.01803135,0.998893
63755672385929,-0.03812373,1.559641,-0.635512,-0.02160177,0.0375076,-0.01802365,0.9989003
63755672385943,-0.03813422,1.559623,-0.6352434,-0.02132662,0.03738702,-0.01791808,0.9989126
63755672385957,-0.03817415,1.559435,-0.6347519,-0.02086516,0.0373814,-0.01805545,0.9989201
63755672385971,-0.03817093,1.559324,-0.6344413,-0.02027649,0.03740723,-0.0183989,0.998925
63755672385985,-0.03815877,1.559319,-0.6340743,-0.01966558,0.03739658,-0.01856724,0.9989344
63755672385999,-0.03818941,1.559403,-0.6336328,-0.01940463,0.03747803,-0.01877657,0.9989326
63755672386012,-0.03817928,1.559409,-0.6333764,-0.01942489,0.03748859,-0.01878068,0.9989317
63755672386026,-0.03819311,1.559438,-0.6328009,-0.01927068,0.03736485,-0.01864419,0.9989419
63755672386040,-0.03814709,1.559595,-0.6319621,-0.01926212,0.03709073,-0.01830211,0.9989586
63755672386054,-0.03811574,1.559786,-0.6312158,-0.01902606,0.03687489,-0.01800158,0.9989766
63755672386067,-0.03811288,1.560013,-0.6303902,-0.01863389,0.03651059,-0.01790322,0.9989991
63755672386081,-0.03811777,1.560196,-0.6297313,-0.01838126,0.03622086,-0.0178739,0.9990149
63755672386095,-0.03806055,1.560407,-0.6288842,-0.01825374,0.03569669,-0.01772785,0.9990387
63755672386109,-0.03795564,1.56061,-0.6278691,-0.01822026,0.03534311,-0.01743054,0.9990571
63755672386122,-0.03782797,1.560986,-0.626435,-0.01818376,0.0348806,-0.01707204,0.9990802
63755672386137,-0.03771389,1.561265,-0.6252728,-0.01837186,0.0345272,-0.01684731,0.9990929
63755672386150,-0.03751135,1.561626,-0.6236831,-0.0181619,0.03398334,-0.01691425,0.9991142
63755672386163,-0.03738713,1.56187,-0.6224392,-0.01789353,0.03361878,-0.01697096,0.9991304
63755672386177,-0.03722048,1.562116,-0.6210815,-0.01773791,0.03332112,-0.01716513,0.9991398
63755672386191,-0.0367403,1.562682,-0.6182547,-0.01730115,0.03234917,-0.01705648,0.9991813
63755672386205,-0.03645766,1.562819,-0.6167051,-0.01727966,0.03193895,-0.01680714,0.9991991
63755672386219,-0.03613102,1.562922,-0.615123,-0.01690965,0.03152157,-0.01660927,0.999222
63755672386232,-0.03538299,1.563244,-0.6118225,-0.01529847,0.03108957,-0.01658591,0.9992619
63755672386246,-0.03514159,1.56341,-0.6106959,-0.01475912,0.03097375,-0.01681539,0.9992698
63755672386260,-0.03447914,1.563621,-0.6076648,-0.01271397,0.03059542,-0.01749557,0.9992979
63755672386273,-0.03408492,1.563731,-0.6059613,-0.01110392,0.03036469,-0.01783504,0.9993181
63755672386287,-0.03340709,1.564396,-0.6028919,-0.00956744,0.0300271,-0.01835912,0.9993347
63755672386302,-0.03288698,1.564973,-0.6005443,-0.009724,0.02988951,-0.01885035,0.9993281
63755672386316,-0.0322578,1.565564,-0.5977502,-0.009615543,0.02976225,-0.01957524,0.9993191
63755672386331,-0.03168416,1.566025,-0.5952562,-0.009116581,0.02978159,-0.01994818,0.9993158
