ts,x,y,z,rx,ry,rz,rw
63755672385463,0.02675557,1.541196,-0.6798805,-0.02138288,0.03717681,-0.01981667,0.9988834
63755672385477,0.02665591,1.541242,-0.6798822,-0.02149205,0.03720479,-0.01959757,0.9988843
63755672385491,0.02643716,1.541298,-0.6799443,-0.02145012,0.03683205,-0.01890394,0.9989124
63755672385504,0.02633989,1.541332,-0.6800191,-0.02095587,0.03655972,-0.01865625,0.9989375
63755672385518,0.0262332,1.541333,-0.6800886,-0.02082819,0.03608838,-0.01848736,0.9989605
63755672385532,0.02614391,1.54135,-0.6801358,-0.02102477,0.03557856,-0.0182861,0.9989784
63755672385546,0.02607274,1.541351,-0.6801636,-0.02148076,0.03519376,-0.01825658,0.9989828
63755672385559,0.02596676,1.541392,-0.6801875,-0.02222432,0.0349442,-0.01872955,0.9989666
63755672385573,0.02589095,1.541462,-0.6801915,-0.02305074,0.03495617,-0.01918128,0.9989389
63755672385587,0.02582669,1.541528,-0.6802075,-0.02363595,0.03505754,-0.01948268,0.9989158
63755672385600,0.02577388,1.541568,-0.6802331,-0.02381828,0.0352744,-0.01945488,0.9989043
63755672385614,0.02575612,1.541608,-0.6802928,-0.02393843,0.03555343,-0.01901485,0.9989001
63755672385627,0.02582264,1.541689,-0.6803546,-0.02405586,0.03632808,-0.01793276,0.9988894
63755672385641,0.02585149,1.541722,-0.680371,-0.02420499,0.03666301,-0.01758737,0.9988797
63755672385655,0.02592063,1.541802,-0.6804053,-0.02421747,0.03732081,-0.01723426,0.9988612
63755672385669,0.02598429,1.541821,-0.6804473,-0.02408848,0.03769043,-0.01725924,0.99885
63755672385683,0.02601421,1.541813,-0.6804694,-0.02403631,0.03774919,-0.0173806,0.9988469
63755672385696,0.02606428,1.541772,-0.6804889,-0.02390438,0.03772259,-0.01771134,0.9988453
63755672385710,0.02605033,1.541786,-0.6804488,-0.02380759,0.0376908,-0.01784603,0.9988464
63755672385724,0.02602959,1.541785,-0.6803891,-0.02393787,0.0375692,-0.01798584,0.9988454
63755672385737,0.02605069,1.541802,-0.6803496,-0.02398065,0.03730079,-0.01819272,0.9988506
63755672385751,0.02610242,1.541865,-0.6802481,-0.024174,0.03717165,-0.01832797,0.9988483
63755672385765,0.0261569,1.541906,-0.6801248,-0.02461671,0.03711386,-0.01847094,0.9988371
63755672385779,0.02620339,1.541942,-0.6799773,-0.02475881,0.03725175,-0.01842874,0.9988292
63755672385792,0.02624965,1.541932,-0.6798521,-0.0245567,0.03736511,-0.01841489,0.9988302
63755672385806,0.02626538,1.54192,-0.6798057,-0.02441654,0.03741019,-0.0183727,0.9988327
63755672385820,0.02632666,1.541885,-0.6796179,-0.02345696,0.03753359,-0.01790995,0.9988595
63755672385833,0.0263052,1.541858,-0.6794583,-0.02310482,0.03768218,-0.01766585,0.9988664
63755672385847,0.02628481,1.541869,-0.6792954,-0.02284226,0.03774279,-0.01758933,0.9988716
63755672385861,0.02628493,1.541894,-0.6790446,-0.02268459,0.03773971,-0.0179189,0.9988694
63755672385875,0.02627575,1.541915,-0.6789334,-0.02257003,0.03773487,-0.01811601,0.9988686
