ts,x,y,z,rx,ry,rz,rw
63755672385463,-3.943046,7.274275,-0.4988057,-0.1633475,0.8042465,-0.5280505,-0.2183297
63755672385477,-3.942966,7.274294,-0.4988752,-0.1631374,0.8043392,-0.5280064,-0.2182522
63755672385491,-3.942696,7.274403,-0.498934,-0.1627946,0.8045229,-0.5281121,-0.2175738
63755672385504,-3.942556,7.274487,-0.4989296,-0.1628339,0.8043647,-0.5285193,-0.2171402
63755672385518,-3.942395,7.274606,-0.4989309,-0.1629803,0.804425,-0.528583,-0.2166519
63755672385532,-3.942264,7.274731,-0.4989588,-0.1630642,0.8046694,-0.5283824,-0.2161699
63755672385546,-3.942178,7.274838,-0.4990021,-0.1631707,0.8049927,-0.5279576,-0.2159236
63755672385559,-3.942148,7.274981,-0.4991562,-0.1635538,0.8053456,-0.5272262,-0.2161046
63755672385573,-3.942184,7.275084,-0.4993317,-0.1637615,0.8056925,-0.5264705,-0.2164965
63755672385587,-3.942212,7.275164,-0.4994679,-0.1638427,0.8059223,-0.5259527,-0.2168379
63755672385600,-3.942205,7.275188,-0.499525,-0.1636689,0.8059791,-0.525842,-0.2170263
63755672385614,-3.942191,7.27521,-0.4995139,-0.1631422,0.8060678,-0.5258676,-0.2170314
63755672385627,-3.942255,7.275147,-0.4994414,-0.16183,0.8061736,-0.526089,-0.2170846
63755672385641,-3.942298,7.275121,-0.4994281,-0.161343,0.8062476,-0.5260815,-0.2171901
63755672385655,-3.942419,7.275075,-0.4994227,-0.1606969,0.8061855,-0.5262358,-0.2175258
63755672385669,-3.94251,7.275062,-0.4993912,-0.1605368,0.8060378,-0.5263924,-0.2178122
63755672385683,-3.942545,7.275072,-0.4993716,-0.160611,0.805976,-0.5264215,-0.2179158
63755672385696,-3.942592,7.275084,-0.4993312,-0.1609139,0.8058509,-0.5264645,-0.2180511
63755672385710,-3.942595,7.275057,-0.4993696,-0.1610564,0.8057817,-0.5265139,-0.2180823
63755672385724,-3.942589,7.275033,-0.499418,-0.1612118,0.8058488,-0.5263635,-0.2180827
63755672385737,-3.942616,7.275046,-0.499455,-0.1615172,0.8058875,-0.5262499,-0.2179876
63755672385751,-3.942707,7.275003,-0.4995386,-0.1616619,0.8059899,-0.5260476,-0.21799
63755672385765,-3.942809,7.274939,-0.4996256,-0.1617291,0.8062068,-0.525651,-0.2180952
63755672385779,-3.942894,7.274798,-0.4996895,-0.1615942,0.8062608,-0.5255635,-0.218206
63755672385792,-3.942943,7.274647,-0.4996927,-0.1615569,0.8061345,-0.5257483,-0.2182551
63755672385806,-3.942951,7.274582,-0.4996809,-0.1615234,0.8060598,-0.5258774,-0.2182448
63755672385820,-3.942943,7.274296,-0.4995983,-0.1612564,0.8056182,-0.5267646,-0.2179328
63755672385833,-3.942905,7.274088,-0.4996021,-0.1610422,0.8054487,-0.5271193,-0.2178605
63755672385847,-3.942897,7.273915,-0.499657,-0.1609944,0.8053128,-0.5273568,-0.2178235
63755672385861,-3.942956,7.273697,-0.4997865,-0.161288,0.8051694,-0.5274243,-0.2179725
63755672385875,-3.942982,7.273604,-0.4998583,-0.1614688,0.8050737,-0.5274807,-0.2180558
63755672385889,-3.94302,7.273277,-0.4999779,-0.1616171,0.8048414,-0.5278399,-0.2179343
63755672385902,-3.943048,7.272983,-0.5000775,-0.1616227,0.8047103,-0.5280569,-0.2178884
63755672385916,-3.94307,7.272747,-0.5001709,-0.1616132,0.8046734,-0.5281615,-0.2177782
63755672385929,-3.943093,7.272559,-0.5002596,-0.1616921,0.8046288,-0.528253,-0.2176625
63755672385943,-3.943101,7.272304,-0.5003444,-0.1617228,0.8045285,-0.5284784,-0.2174633
63755672385957,-3.943024,7.271783,-0.5003816,-0.1619179,0.8042614,-0.5288283,-0.2174555
63755672385971,-3.943005,7.271454,-0.5003988,-0.1622832,0.8038823,-0.5292486,-0.2175626
63755672385985,-3.943047,7.271109,-0.5005172,-0.1625323,0.8035312,-0.5297133,-0.2175423
63755672385999,-3.943101,7.27073,-0.5007548,-0.1627014,0.803338,-0.5298995,-0.2176763
63755672386012,-3.943136,7.270492,-0.5008439,-0.1626953,0.8033457,-0.5298838,-0.2176903
63755672386026,-3.943192,7.269967,-0.5010754,-0.1626814,0.8033152,-0.5300158,-0.2174922
